Transaction Date, Posting Date, Billing Amount, Merchant, Merchant City , Merchant State , Merchant Zip , Reference Number , Debit/Credit Flag , SICMCC Code
3/1/17,3/1/17,($641.92),PAYMENT RECEIVED -- THANK,YOU,,," ""80000008173""",C,0
3/1/17,3/2/17,$35.76 ,CUMBERLAND FA 91187210,CHELMSFORD,MA,1824," ""24231687061837008824001""",D,5542
2/28/17,3/2/17,$18.54 ,PRESSED CAFE,NASHUA,NH,3062," ""24692167060000888528350""",D,5814
2/27/17,3/1/17,$10.64 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797059500575945460""",D,5814
2/25/17,2/27/17,$28.00 ,SENMONOROM RESTAURANT,LOWELL,MA,1851," ""24055237056400058000347""",D,5812
2/25/17,2/27/17,$115.17 ,WAMESIT LANES - BOWLIN,TEWKSBURY,MA,1876," ""24269797057100636824796""",D,7933
2/25/17,2/27/17,$17.74 ,Dig Inn Season Market - B,New York,NY,10001," ""24342857057700086431357""",D,5812
2/24/17,2/27/17,$8.76 ,MCDONALD'S F11790,LOWELL,MA,1851," ""24427337055720055111502""",D,5814
2/23/17,2/24/17,$12.66 ,UNCHARTED GALLERY,Lowell,MA,1852," ""24828247054001347856155""",D,5812
2/23/17,2/27/17,$10.28 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797055500621300706""",D,5814
2/22/17,2/24/17,$19.63 ,PRESSED CAFE,NASHUA,NH,3062," ""24692167054000130707461""",D,5814
2/21/17,2/21/17,$10.50 ,EGYPTIAN GRILL,LOWELL,MA,1854," ""24431067052091045000159""",D,5814
2/21/17,2/22/17,($68.84),WWW.ADVANCEAUTOPARTS,ROANOKE,VA,24012," ""74326887052083460442929""",C,5533
2/21/17,2/22/17,$6.48 ,WALGREENS #11726,LOWELL,MA,1851," ""24445007053600209524405""",D,5912
2/21/17,2/23/17,$14.45 ,PRESSED CAFE,NASHUA,NH,3062," ""24692167053000561166634""",D,5814
2/21/17,2/23/17,$35.19 ,EXXONMOBIL    97535595,LOWELL,MA,1851," ""24164057053378012317937""",D,5542
2/20/17,2/21/17,$68.84 ,WWW.ADVANCEAUTOPARTS,877-238-2623,VA,24012," ""24326887051083455803123""",D,5533
2/20/17,2/21/17,$39.00 ,PHO 88 RESTAURANT INC,LOWELL,MA,1851," ""24275397052010288522067""",D,5812
2/19/17,2/20/17,$75.00 ,PAYPAL *NEIVSA,402-935-7733,CA,95131," ""24492157050894773071517""",D,8398
2/18/17,2/20/17,$11.16 ,CHIPOTLE ONLINE,3035954000,CO,80202," ""24431067049083702874543""",D,5814
2/18/17,2/20/17,$15.00 ,SHOWCASE CINEMAS,LOWELL,MA,1851," ""24445007050000780015266""",D,7832
2/18/17,2/20/17,$10.61 ,CVS/PHARMACY #01056,LOWELL,MA,1851," ""24445007050000780015183""",D,5912
2/18/17,2/20/17,$4.00 ,0628 PLANET FITNESS,DRACUT,MA,1826," ""24910167050007184879690""",D,7997
2/17/17,2/20/17,$55.74 ,BON CHON - LOWELL,LOWELL,MA,1851," ""24269797049500805302931""",D,5812
2/16/17,2/16/17,$22.67 ,PHO DA LAT STORE #1,CHELMSFORD,MA,1824," ""24692167047000011031353""",D,5812
2/16/17,2/17/17,$9.76 ,VALENTINO'S MARKET,NASHUA,NH,3062," ""24224437048103018785337""",D,5499
2/15/17,2/16/17,$9.58 ,EAT24 *MAZA,EAT24HOURS.CO,CA,94105," ""24492157046637007392473""",D,5499
2/14/17,2/16/17,$7.35 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797046500657627545""",D,5814
2/13/17,2/13/17,$40.00 ,BOSTON PARKING TICKETS,617-635-4410,MA,2201," ""24692167044000258213105""",D,9399
2/13/17,2/13/17,$1.10 ,ICI*FEE BOSTON WEB PMT,866-342-9267,MA,2184," ""24692167044000258220241""",D,9399
2/13/17,2/15/17,$11.43 ,NOODLES & CO 7903,NASHUA,NH,3060," ""24431067045207288600352""",D,5812
2/11/17,2/13/17,$29.46 ,PACE ENERGY,LOWELL,MA,1850," ""24765017043006000316146""",D,5542
2/11/17,2/13/17,$3.75 ,TEA DO,BOSTON,MA,2111," ""24435657043207855100162""",D,5814
2/10/17,2/13/17,$17.45 ,PRESSED CAFE,NASHUA,NH,3062," ""24692167042000304158702""",D,5814
2/6/17,2/6/17,($82.53),PAYMENT RECEIVED -- THANK,YOU,,," ""80000015073""",C,0
4/3/17,4/3/17,"($1,957.86)",PAYMENT RECEIVED -- THANK,YOU,,," ""80000002275""",C,0
4/3/17,4/4/17,$13.63 ,PRESSED CAFE,NASHUA,NH,3063," ""24224437094105001096971""",D,5812
4/2/17,4/3/17,$9.61 ,MCDONALD'S F4209,BRIGHTON,MA,2135," ""24427337092710052631060""",D,5814
4/2/17,4/3/17,$44.18 ,MARKET BASKET 00000190,LOWELL,MA,1851," ""24164077092433001655168""",D,5411
4/2/17,4/4/17,$41.22 ,PURPLE BAMBOO,978-8775176,MA,1862," ""24744557093135610065452""",D,5812
4/2/17,4/4/17,$45.54 ,EXXONMOBIL    97448229,BOSTON,MA,2118," ""24164057093378010240141""",D,5542
3/31/17,3/31/17,$16.00 ,EB FUSION PRESENTS EL,8014137200,CA,94103," ""24492157090717398904543""",D,7399
3/31/17,4/3/17,$11.18 ,CHIPOTLE 2744,CHELMSFORD,MA,1824," ""24431067091207288702912""",D,5814
3/31/17,4/3/17,$11.45 ,PRESSED CAFE,NASHUA,NH,3063," ""24224437091105001208728""",D,5812
3/30/17,4/3/17,$12.44 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797090100361286186""",D,5814
3/30/17,4/3/17,$4.85 ,ARAMARK UMASS LOWELL STAR,LOWELL,MA,1854," ""24755427090170902897515""",D,5814
3/29/17,3/31/17,$9.78 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797089500607090578""",D,5814
3/28/17,3/29/17,$23.82 ,CVS/PHARMACY #01056,LOWELL,MA,1851," ""24445007088000792349105""",D,5912
3/28/17,3/29/17,$12.26 ,PRESSED CAFE,NASHUA,NH,3063," ""24224437088105000724944""",D,5812
3/27/17,3/29/17,$8.97 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797087500602545263""",D,5814
3/26/17,3/27/17,$8.45 ,PHO EVER CHICKEN,BURLINGTON,MA,1803," ""24431067085400589000577""",D,5814
3/26/17,3/27/17,$8.78 ,ARAMARK UML MARKETPLACE,LOWELL,MA,1854," ""24755427086120862012072""",D,5814
3/26/17,3/27/17,$265.84 ,HILTON BOSTON/WOBURN,WOBURN,MA,1801," ""24231687086286005621823""",D,3504
3/25/17,3/27/17,$6.71 ,MCDONALD'S F4563,WOBURN,MA,1801," ""24427337084720040119052""",D,5814
3/24/17,3/27/17,$32.47 ,SPEEDWAY 02501,LOWELL,MA,1852," ""24224437084103009062113""",D,5542
3/24/17,3/27/17,$12.99 ,VMK LLC,NASHUA,NH,3060," ""24733097084400087001245""",D,5814
3/22/17,3/23/17,$14.72 ,PRESSED CAFE,NASHUA,NH,3063," ""24224437082105000712366""",D,5812
3/22/17,3/24/17,$25.00 ,STAY TRUE BARBERSHOP,HUDSON,NH,3051," ""24688077082980003699395""",D,7230
3/21/17,3/22/17,$13.39 ,CHIPOTLE 1373,NASHUA,NH,3060," ""24431067081207888702447""",D,5814
3/21/17,3/23/17,$12.60 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797081500604414381""",D,5814
3/20/17,3/21/17,$6.69 ,SNOWDAES LLC,LOWELL,MA,1851," ""24733097079091579002028""",D,5812
3/18/17,3/20/17,$35.85 ,MARKET BASKET 00000190,LOWELL,MA,1851," ""24164077078433001414481""",D,5411
3/17/17,3/20/17,$5.72 ,ORANGE LEAF FROZEN,NASHUA,NH,3062," ""24224437077105008606583""",D,5814
3/17/17,3/20/17,$9.41 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797077500837481815""",D,5814
3/16/17,3/17/17,$761.99 ,GOOGLE *SERVICES,g.co/payhelp#,CA,94043," ""24692167075000147375331""",D,5732
3/16/17,3/20/17,$10.12 ,PAPA GINOS #302,NASHUA,NH,3060," ""24733097076286099900064""",D,5812
3/15/17,3/17/17,$9.78 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797075500673541708""",D,5814
3/14/17,3/15/17,$7.28 ,CVS/PHARMACY #01056,LOWELL,MA,1851," ""24445007074000672910709""",D,5912
3/13/17,3/14/17,$35.60 ,GULF OIL 92047520,N CHELMSFORD,MA,1863," ""24231687072837000410749""",D,5542
3/13/17,3/15/17,$8.34 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797073500641913023""",D,5814
3/12/17,3/13/17,$14.85 ,PANERA BREAD #3420,CHELMSFORD,MA,1824," ""24427337071720040479071""",D,5814
3/11/17,3/13/17,$10.12 ,CVS/PHARMACY #01056,LOWELL,MA,1851," ""24445007071000901177891""",D,5912
3/11/17,3/13/17,$31.75 ,CHINA STAR,LOWELL,MA,1851," ""24275397071010414406562""",D,5812
3/11/17,3/13/17,$155.00 ,RMV WEB TRANSACTION,857-368-8670,MA,2171," ""24445007071300474708746""",D,9399
3/11/17,3/13/17,$10.00 ,FOSTER CARE TO SUCCESS,571-2030270,VA,20166," ""24270747071429200364523""",D,8398
3/10/17,3/13/17,$9.54 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797070500730870798""",D,5814
3/10/17,3/13/17,$25.00 ,SHOWCASE CINEMAS,LOWELL,MA,1851," ""24445007070100323434275""",D,7832
3/10/17,3/13/17,$10.90 ,MARKET STREET MARKET,LOWELL,MA,1852," ""24373287071502504481053""",D,5499
3/9/17,3/10/17,$12.63 ,CHIPOTLE ONLINE,3035954000,CO,80202," ""24431067068083756366939""",D,5814
3/9/17,3/13/17,$200.00 ,WPY*Bunnath Ouk,855-469-3729,CA,1854," ""24445007069300440958569""",D,8398
3/8/17,3/9/17,$7.58 ,ARAMARK UML MARKETPLACE,LOWELL,MA,1854," ""24755427068120683986803""",D,5814
3/4/17,3/6/17,$42.99 ,POWERS WINE CO,LOWELL,MA,1851," ""24765017064286000000585""",D,5921
2/3/17,2/3/17,$11.81 ,INTEREST CHARGE-PURCHASES,,,," """"",D,0
2/3/17,2/3/17,$0.03 ,INTEREST CHARGE-FEE,,,," """"",D,0
2/2/17,2/2/17,"($1,077.60)",PAYMENT RECEIVED -- THANK,YOU,,," ""80000013644""",C,0
2/2/17,2/3/17,$33.21 ,MARKET BASKET 00000190,LOWELL,MA,1851," ""24164077033433001690175""",D,5411
2/1/17,2/1/17,$35.00 ,LATE PAYMENT FEE,,,," """"",D,0
2/1/17,2/2/17,$4.55 ,SNOWDAES LLC,LOWELL,MA,1851," ""24733097032091576000260""",D,5812
2/1/17,2/2/17,$32.93 ,SPEEDWAY 02468,LOWELL,MA,1854," ""24224437033104013031922""",D,5542
1/29/17,1/30/17,$119.28 ,China Pearl Restaurant,Boston,MA,2111," ""24342857029700056717681""",D,5812
1/25/17,1/26/17,$31.23 ,MARKET BASKET 00000190,LOWELL,MA,1851," ""24164077025433001560600""",D,5411
1/24/17,1/26/17,$36.42 ,PACSUN #0163,NASHUA,NH,3060," ""24055237025840204198016""",D,5699
1/24/17,1/26/17,$16.04 ,ANGELINAS PIZZERIA AND SU,LOWELL,MA,1851," ""24828247025080080253404""",D,5812
1/23/17,1/24/17,$28.40 ,ICE CASTLES LLC,888-407-4054,UT,84003," ""24055237023207473903066""",D,7999
1/23/17,1/25/17,$23.85 ,7-ELEVEN 33097,LOWELL,MA,1851," ""24299107024003442884127""",D,5542
1/21/17,1/23/17,$10.21 ,CVS/PHARMACY #01056,LOWELL,MA,1851," ""24445007022000719603146""",D,5912
1/21/17,1/23/17,$12.73 ,ITS A WRAP,DRACUT,MA,1826," ""24373287022199807659129""",D,5812
1/21/17,1/23/17,$30.02 ,OLIVE GARDEN  00016394,TYNGSBORO,MA,1879," ""24164077022140821392006""",D,5812
1/20/17,1/20/17,$9.00 ,EGYPTIAN GRILL,LOWELL,MA,1854," ""24431067020091041000319""",D,5814
1/20/17,1/23/17,$85.20 ,MAKI MAKI JAPANESE,WOBURN,MA,1801," ""24275397021400600364660""",D,5812
1/18/17,1/19/17,$3.00 ,FAMILY DOLLAR #10090,DRACUT,MA,1826," ""24231687019837000096965""",D,5331
1/17/17,1/17/17,$32.11 ,SENMONOROM RESTAURANT,LOWELL,MA,1851," ""24055237017400055000157""",D,5812
1/17/17,1/18/17,$13.32 ,CHIPOTLE 2744,CHELMSFORD,MA,1824," ""24431067018207288700262""",D,5814
1/17/17,1/19/17,$35.00 ,C P T AUTO BODY,LOWELL,MA,1851," ""24019517018175201708577""",D,7538
1/16/17,1/17/17,$7.43 ,CVS/PHARMACY #01056,LOWELL,MA,1851," ""24445007017000723698790""",D,5912
1/15/17,1/16/17,$4.10 ,CVS/PHARMACY #01056,LOWELL,MA,1851," ""24445007016000654280544""",D,5912
1/14/17,1/16/17,$23.44 ,TST* BIT BAR SALEM,SALEM,MA,1970," ""24445007014500583064374""",D,5812
1/13/17,1/16/17,$43.23 ,MARKET BASKET 00000190,LOWELL,MA,1851," ""24164077013433001362589""",D,5411
1/13/17,1/16/17,$52.23 ,BISTRO 118,SALEM,MA,1970," ""24765177015980000969599""",D,5812
1/12/17,1/16/17,$14.93 ,WOO JEON,BURLINGTON,MA,1803," ""24323607013993219571935""",D,5812
1/11/17,1/13/17,$1.00 ,0628 PLANET FITNESS,DRACUT,MA,1826," ""24910167012007080918185""",D,7997
1/10/17,1/11/17,$105.19 ,Amazon.com,AMZN.COM/BILL,WA,98109," ""24692167010000115282715""",D,5942
1/10/17,1/11/17,$9.99 ,AMAZON MKTPLACE PMTS,AMZN.COM/BILL,WA,98109," ""24692167010000302145881""",D,5942
1/10/17,1/12/17,$14.75 ,RED ROSE RESTAURANT,LOWELL,MA,1851," ""24207857011209700417536""",D,5812
1/9/17,1/10/17,$8.99 ,AMAZON MKTPLACE PMTS,AMZN.COM/BILL,WA,98109," ""24692167009000643537849""",D,5942
1/9/17,1/11/17,$127.49 ,WAYFAIR*Wayfair,wayfair.com,MA,2116," ""24906417009034504272205""",D,5965
1/5/17,1/6/17,$34.77 ,SPEEDWAY 02468,LOWELL,MA,1854," ""24224437006101027176175""",D,5542
12/28/16,1/6/17,$36.00 ,BOSTON COMMON FROG POND 2,BOSTON,MA,2108," ""24603167005980002931190""",D,7299
1/3/17,1/3/17,($550.04),PAYMENT RECEIVED -- THANK,YOU,,," ""80000018098""",C,0
12/31/16,1/2/17,$27.31 ,CHILI'S LOWELL,LOWELL,MA,1851," ""24231687001206088001620""",D,5812
12/31/16,1/2/17,$23.02 ,CHILI'S LOWELL,LOWELL,MA,1851," ""24231687001206088001646""",D,5812
12/31/16,1/2/17,$51.92 ,TARGET        00024802,LOWELL,MA,1852," ""24164077001091007370644""",D,5411
12/30/16,1/2/17,($29.00),APPLE STORE  #R354,NASHUA,NH,3060," ""74692167001000854056698""",C,5732
12/28/16,12/30/16,$22.50 ,MBTA ALEWIFE,CAMBRIDGE,MA,2140," ""24445006364300423905722""",D,4111
12/28/16,12/30/16,$4.50 ,MBTA COPLEY,BOSTON,MA,2116," ""24445006364300423905805""",D,4111
12/26/16,12/27/16,$61.48 ,TARGET        00012286,NASHUA,NH,3060," ""24164076361091011280637""",D,5411
12/26/16,12/27/16,($129.99),DICK'S SPORTING GOODS616,NASHUA,NH,3060," ""74391216362761005087419""",C,5941
12/23/16,12/26/16,$52.49 ,TARGET        00024802,LOWELL,MA,1852," ""24164076358091007981698""",D,5411
12/21/16,12/22/16,$59.99 ,TARGET        00012286,NASHUA,NH,3060," ""24164076356091011273332""",D,5411
12/21/16,12/22/16,$21.87 ,PHO DA LAT STORE #1,CHELMSFORD,MA,1824," ""24692166357000050732321""",D,5812
12/21/16,12/22/16,$164.98 ,DICK'S SPORTING GOODS616,NASHUA,NH,3060," ""24391216357761018424015""",D,5941
12/21/16,12/22/16,$29.00 ,APPLE STORE  #R354,NASHUA,NH,3060," ""24692166357000161754545""",D,5732
12/21/16,12/23/16,$13.88 ,NEWBURY COMICS #8,NASHUA,NH,3060," ""24733096357400943000177""",D,5735
12/21/16,12/23/16,$24.50 ,BATH & BODY WORKS 0676,NASHUA,NH,3060," ""24792626357492008142012""",D,5999
12/20/16,12/21/16,$52.67 ,PHO 88 RESTAURANT INC,LOWELL,MA,1851," ""24275396356009958273519""",D,5812
12/20/16,12/22/16,$11.00 ,DOMINO'S 3771,978-375-4992,MA,1854," ""24445006356500704035350""",D,5814
